¦~¥÷,Country code,Target region code,Summit code,¤è¦ì,Sunnit area section,code,area,Date (YYYYMMDD),Time from (HH:MM¡A24¤p®É¨î),Time to (HH:MM¡A24¤p®É¨î),Researcher(s),Vascular plants,Solid rock,Scree,Lichens,Bryophytes,Bare ground,Litter
2014,TW,SYU,DSH,E,E10,2014TWSYUDSHE10,10,20140825,15:46,16:15,ªL§g»ö,84,3,6,2.5,1,0.5,3
2014,TW,SYU,DSH,S,S05,2014TWSYUDSHS05,05,20140825,14:45,15:15,¶À¥@¦|,55.3,3.5,25,1.5,0.8,0.9,13
2014,TW,SYU,DSH,S,S10,2014TWSYUDSHS10,10,20140825,15:19,16:22,ªL­õ¦t,56.5,15,23,0.5,1,1,3
2014,TW,SYU,DSH,W,W05,2014TWSYUDSHW05,05,20140825,15:32,16:24,Ä¬¾_°a¡B ²ø³ë¶P,61.4,17,15,1,0.5,0.1,5
2014,TW,SYU,DSH,W,W10,2014TWSYUDSHW10,10,20140826,09:35,10:40,ÁÂµÙ¬K¡B¶À¥@¦|,87,8,2,0.5,1,0.5,1
2014,TW,SYU,DSH,N,N05,2014TWSYUDSHN05,05,20140825,15:00,15:35,ÁÂµÙ¬K,77.5,5,8,2,0.5,2,5
2014,TW,SYU,DSH,N,N10,2014TWSYUDSHN10,10,20140825,15:35,16:20,ÁÂµÙ¬K,78.5,5,5,2,1,0.5,8
2014,TW,SYU,TSW,E,E05,2014TWSYUTSWE05,05,20140809,09:38,10:14,ÁÂµÙ¬K¡B Ä¬¾_°a,78,5,8,1,0.1,2.4,5.5
2014,TW,SYU,TSW,E,E10,2014TWSYUTSWE10,10,20140809,09:38,10:17,¶À¥@¦|,62.7,17,12,0,0.1,0.2,8
2014,TW,SYU,TSW,S,S05,2014TWSYUTSWS05,05,20140809,08:15,08:48,¶À¥@¦|,66.4,2,18,0.1,0.8,0.7,12
2014,TW,SYU,TSW,S,S10,2014TWSYUTSWS10,10,20140809,09:05,09:35,¶À¥@¦|¡B Ä¬¾_°a,60.7,16,10,0,0.2,0.1,13
2014,TW,SYU,TSW,W,W05,2014TWSYUTSWW05,05,20140809,08:32,08:54,ªL§g»ö¡B ²ø³ë¶P,84,0.04,8,0.76,0.2,0,7
2014,TW,SYU,TSW,W,W10,2014TWSYUTSWW10,10,20140809,08:56,09:22,ªL§g»ö¡B ²ø³ë¶P,80,1,10,3,3,1,2
2014,TW,SYU,TSW,N,N05,2014TWSYUTSWN05,05,20140809,09:23,09:47,ªL§g»ö¡B ²ø³ë¶P¡B³¯­³¥ò,73,1,6,10,2,2,6
2014,TW,SYU,TSW,N,N10,2014TWSYUTSWN10,10,20140809,09:40,10:06,ªL§g»ö¡B ²ø³ë¶P¡B³¯­³¥ò,92,0,3,1.8,0.2,1,2
2014,TW,SYU,JNJ,E,E05,2014TWSYUJNJE05,05,20140813,08:51,09:20,ÁÂµÙ¬K,71,1.5,20.5,0.5,0.5,4,2
2014,TW,SYU,JNJ,E,E10,2014TWSYUJNJE10,10,20140813,09:28,10:05,ÁÂµÙ¬K,71.9,10,12,0.05,0.05,4,2
2014,TW,SYU,JNJ,S,S05,2014TWSYUJNJS05,05,20140813,08:40,09:10,¶À¥@¦|,63,14,17,0,0.8,0.5,4.7
2014,TW,SYU,JNJ,S,S10,2014TWSYUJNJS10,10,20140813,09:15,09:40,¶À¥@¦|,58.2,25,8,0,0.4,0.9,7.5
2014,TW,SYU,JNJ,W,W05,2014TWSYUJNJW05,05,20140813,08:39,09:13,ªL§g»ö,85,4,5.1,0.5,0.4,2,3
2014,TW,SYU,JNJ,W,W10,2014TWSYUJNJW10,10,20140813,09:27,09:58,ªL§g»ö,85,7,2,1,0.5,0.5,4
2014,TW,SYU,JNJ,N,N05,2014TWSYUJNJN05,05,20140813,09:45,10:05,¶À¥@¦|,94.7,0.2,1.5,0.8,0.2,0.1,2.5
2014,TW,SYU,JNJ,N,N10,2014TWSYUJNJN10,10,20140813,09:50,10:13,Ä¬¾_°a¡B ²ø³ë¶P¡B³¯­³¥ò,92,0.1,0.2,2.5,0.1,0.1,5
2020,TW,SYU,JNJ,E,E05,2020TWSYUJNJE05,05,20200629,0938,0952,¹ù«T«¶,65,1.5,20,0.1,0.1,5,8.3
2020,TW,SYU,JNJ,E,E10,2020TWSYUJNJE10,10,20200629,0858,0906,¹ù«T«¶,70,10,12,0.1,0.1,5,2.8
2020,TW,SYU,JNJ,S,S05,2020TWSYUJNJS05,05,20200629,0956,1007,¹ù«T«¶,60,14,20,0.05,0.1,2.35,3.5
2020,TW,SYU,JNJ,S,S10,2020TWSYUJNJS10,10,20200629,0907,0919,¹ù«T«¶,60,25,8,0.05,0.35,1,5.6
2020,TW,SYU,JNJ,W,W05,2020TWSYUJNJW05,05,20200629,1009,1021,¹ù«T«¶,85,3,5,1,0.5,2,3.5
2020,TW,SYU,JNJ,W,W10,2020TWSYUJNJW10,10,20200629,0920,0936,¹ù«T«¶,85,6,3,1,0.5,0.5,4
2020,TW,SYU,JNJ,N,N05,2020TWSYUJNJN05,05,20200629,0830,0842,¹ù«T«¶,95,0.2,1,0.8,0.1,0.2,2.7
2020,TW,SYU,JNJ,N,N10,2020TWSYUJNJN10,10,20200629,0843,0857,¹ù«T«¶,90,0.1,0.1,5,0.1,1,3.7
2020,TW,SYU,TSW,E,E05,2020TWSYUTSWE05,05,20200627,0817,0846,¹ù«T«¶,77.5,5,8,1.5,0.5,2.5,5
2020,TW,SYU,TSW,E,E10,2020TWSYUTSWE10,10,20200627,0827,0909,¹ù«T«¶,63,17,10,2,1,1,5
2020,TW,SYU,TSW,S,S05,2020TWSYUTSWS05,05,20200626,0922,,¹ù«T«¶,80,1,13,0.5,0.1,0.4,5
2020,TW,SYU,TSW,S,S10,2020TWSYUTSWS10,10,20200627,0910,0921,¹ù«T«¶,65,20,8,0.1,0.5,0.9,5.5
2020,TW,SYU,TSW,W,W05,2020TWSYUTSWW05,05,20200626,1122,1135,¹ù«T«¶,85,0,5,1,4,4,1
2020,TW,SYU,TSW,W,W10,2020TWSYUTSWW10,10,20200626,1143,1153,¹ù«T«¶,84,0,3,3,3,6,1
2020,TW,SYU,TSW,N,N05,2020TWSYUTSWN05,05,20200626,1110,1120,¹ù«T«¶,87,0,4,3,3,1,2
2020,TW,SYU,TSW,N,N10,2020TWSYUTSWN10,10,20200626,1230,1244,¹ù«T«¶,91,1,1,1,2,2,2
2020,TW,SYU,DSH,E,E05,2020TWSYUDSHE05,05,20200714,1350,1412,§õ¤B¦b¡B³¢Â¦¹Å¡B¬x·O¡BÄ¬¬R¡B¶À¤¹Às,90,3,4,0,0,3,0
2020,TW,SYU,DSH,E,E10,2020TWSYUDSHE10,10,20200714,1412,1429,§õ¤B¦b¡BÄ¬¬R¡B³¢Â¦¹Å¡B¶À¤¹Às¡B¬x·O,82.8,3.3,12,0.7,0,0.2,1
2020,TW,SYU,DSH,S,S05,2020TWSYUDSHS05,05,20200714,1255,1325,§õ¤B¦b¡B³¢Â¦¹Å¡B¬x·O¡B³¯«É»Í,60,4,20,0,0.2,5,10.8
2020,TW,SYU,DSH,S,S10,2020TWSYUDSHS10,10,20200714,1325,1400,§õ¤B¦b¡B³¢Â¦¹Å¡B¬x·O¡B³¯«É»Í,60,15,20,1,2,0,2
2020,TW,SYU,DSH,W,W05,2020TWSYUDSHW05,05,20200714,1455,1530,Ä¬¬R¡B§õ¤B¦b¡B¬x·O¡B³¢Â¦¹Å¡B³\¶³µq,67,17,15,0,0,1,0
2020,TW,SYU,DSH,W,W10,2020TWSYUDSHW10,10,20200714,1520,1553,§õ¤B¦b¡B¬x·O¡B³¢Â¦¹Å¡B§õ¨Û¾§¡BÄ¬¬R¡B¶À¤¹Às¡B³\¶³µq,87,5,5,0.5,0.5,1,1
2020,TW,SYU,DSH,N,N05,2020TWSYUDSHN05,05,20200714,1431,1444,§õ¤B¦b¡B³¢Â¦¹Å¡B¬x·O¡B¶À¤¹Às,86,5,2,2,0,2.5,2.5
2020,TW,SYU,DSH,N,N10,2020TWSYUDSHN10,10,20200714,1444,1454,³¢Â¦¹Å¡B§õ¤B¦b¡B¬x·O¡B³¯«É»Í,78,5,7,1,0,4,6
2008,TW,DAS,SEN,E,E05,2008TWDASSENE05,05,20080917,13:55,13:55,ÁÂµÙ¬K¡B½²¨Î®e,75,13,8,0.3,1,2,0.7
2008,TW,DAS,SEN,E,E10,2008TWDASSENE10,10,20080917,14:19,14:19,ÁÂµÙ¬K¡B½²¨Î®e,77.5,10,6,1,0.5,3,2
2008,TW,DAS,SEN,N,N05,2008TWDASSENN05,05,20080918,08:37,08:37,§õ«³­}¡B³¯­§´@,53,11,25,1,6,2,2
2008,TW,DAS,SEN,N,N10,2008TWDASSENN10,10,20080918,09:06,09:06,§õ«³­}¡B³¯­§´@,63.3,15,11,2.5,4.5,3,0.7
2008,TW,DAS,SEN,S,S05,2008TWDASSENS05,05,20080917,12:51,12:51,ÁÂµÙ¬K¡B½²¨Î®e,42.5,25,15,2,0.5,9,6
2008,TW,DAS,SEN,S,S10,2008TWDASSENS10,10,20080917,13:28,13:28,ÁÂµÙ¬K¡B½²¨Î®e,30,50.7,15,1,0.3,2,1
2008,TW,DAS,SEN,W,W05,2008TWDASSENW05,05,20080918,08:30,08:30,ÁÂµÙ¬K¡B½²¨Î®e,84,3.5,7.5,1.3,0.2,3,0.5
2008,TW,DAS,SEN,W,W10,2008TWDASSENW10,10,20080918,09:02,09:02,ÁÂµÙ¬K¡B½²¨Î®e,70,15,7,1.5,0.5,3.5,2.5
2008,TW,DAS,SUN,E,E05,2008TWDASSUNE05,05,20080906,07:29,07:29,§õ«³­}¡B³¯­§´@,72.5,18,5,2,1,0.5,1
2008,TW,DAS,SUN,E,E10,2008TWDASSUNE10,10,20080906,08:16,08:16,§õ«³­}¡B³¯­§´@,59,12,18,3,1,1,6
2008,TW,DAS,SUN,N,N05,2008TWDASSUNN05,05,20080905,09:52,09:52,ÁÂµÙ¬K¡B½²¨Î®e,74.5,12,8,2,2,1,0.5
2008,TW,DAS,SUN,N,N10,2008TWDASSUNN10,10,20080905,13:54,13:54,ÁÂµÙ¬K¡B½²¨Î®e,87.5,5,3,2,1,1,0.5
2008,TW,DAS,SUN,S,S05,2008TWDASSUNS05,05,20080906,12:10,12:10,§õ«³­}¡B³¯­§´@,45.7,24,10,1.5,0.8,2,6
2008,TW,DAS,SUN,S,S10,2008TWDASSUNS10,10,20080906,12:39,12:39,§õ«³­}¡B³¯­§´@,58.2,23,7,1.2,2.4,2.4,7
2008,TW,DAS,SUN,W,W05,2008TWDASSUNW05,05,20080903,14:15,14:15,ÁÂµÙ¬K¡B½²¨Î®e,78,10,5,1,2,3,1
2008,TW,DAS,SUN,W,W10,2008TWDASSUNW10,10,20080904,09:15,09:15,ÁÂµÙ¬K¡B½²¨Î®e,85,5,3,2,1,2,2
2008,TW,DAS,YAT,E,E05,2008TWDASYATE05,05,20080907,13:13,13:13,§õ«³­}¡B³¯­§´@,88,0,2,3,1,4,2
2008,TW,DAS,YAT,E,E10,2008TWDASYATE10,10,20080907,14:02,14:02,§õ«³­}¡B³¯­§´@,91.65,0.05,4,1.2,0.4,3,0.7
2008,TW,DAS,YAT,N,N05,2008TWDASYATN05,05,20080909,10:04,10:04,§õ«³­}¡B³¯­§´@,80.2,6,10,2.5,0.7,0.5,0.1
2008,TW,DAS,YAT,N,N10,2008TWDASYATN10,10,20080909,10:38,10:38,§õ«³­}¡B³¯­§´@,78.8,13,4,2,0.8,0.8,0.6
2008,TW,DAS,YAT,S,S05,2008TWDASYATS05,05,20080907,13:17,13:17,ÁÂµÙ¬K¡B½²¨Î®e,91,1,2,1,1,3,1
2008,TW,DAS,YAT,S,S10,2008TWDASYATS10,10,20080907,13:52,13:52,ÁÂµÙ¬K¡B½²¨Î®e,90.5,1,3,1,0.5,3,1
2008,TW,DAS,YAT,W,W05,2008TWDASYATW05,05,20080909,07:47,07:47,§õ«³­}¡B³¯­§´@,78,10,9,1,1.5,0,0.5
2008,TW,DAS,YAT,W,W10,2008TWDASYATW10,10,20080909,08:45,08:45,§õ«³­}¡B³¯­§´@,47.3,30,22,0.1,0.5,0,0.1
2019,TW,DAS,SUN,E,E05,2019TWDASSUNE05,05,20190712,0910,09:30,Ä¬¬R¡B¤B¦b¡B­§®x¡BÂ¦¹Å,75,5,10,1,1,3,5
2019,TW,DAS,SUN,E,E10,2019TWDASSUNE10,10,20190712,09:30,10:00,Ä¬¬R¡B¤B¦b¡B­§®x¡BÂ¦¹Å,65,10,20,0.5,0,9,0.5
2019,TW,DAS,SUN,S,S05,2019TWDASSUNS05,05,20190712,07:50,08:20,Ä¬¬R¡B¤B¦b¡B­§®x¡BÂ¦¹Å,40,20,20,2,0,3,5
2019,TW,DAS,SUN,S,S10,2019TWDASSUNS10,10,20190712,08:03,08:18,­§®x¡BÂ¦¹Å,50,15,20,0,3,5,7
2019,TW,DAS,SUN,W,W05,2019TWDASSUNW05,05,20190712,10:32,10:50,Ä¬¬R¡B¤B¦b¡B­§®x¡BÂ¦¹Å,65,20,10,3,0,2,0
2019,TW,DAS,SUN,W,W10,2019TWDASSUNW10,10,20190712,09:57,10:32,Ä¬¬R¡B¤B¦b¡B­§®x¡BÂ¦¹Å,64,15,10,0.5,0,10,0.5
2019,TW,DAS,SUN,N,N05,2019TWDASSUNN05,05,20190712,15:30,15:58,Ä¬¬R¡B¤B¦b¡B­§®x¡BÂ¦¹Å,50,30,15,2,0,3,5
2019,TW,DAS,SUN,N,N10,2019TWDASSUNN10,10,20190712,15:58,16:20,Ä¬¬R¡B¤B¦b¡B­§®x¡BÂ¦¹Å,70,10,10,3,0,2,5
2019,TW,DAS,YAT,E,E05,2019TWDASYATE05,05,20190715,14:18,14:32,miss data,80,0,1,1,1,7,10
2019,TW,DAS,YAT,E,E10,2019TWDASYATE10,10,20190715,14:35,15:00,miss data,87,0.5,2.5,1.5,0,3.5,5
2019,TW,DAS,YAT,S,S05,2019TWDASYATS05,05,20190715,08:00,09:32,Ä¬¬R¡B­§®x¡BÂ¦¹Å,60,0,10,0,0,30,0
2019,TW,DAS,YAT,S,S10,2019TWDASYATS10,10,20190715,09:33,09:46,­§®x¡BÂ¦¹Å,75,0,5,3,0,17,0
2019,TW,DAS,YAT,W,W05,2019TWDASYATW05,05,20190715,10:15,10:30,Ä¬¬R¡B¤B¦b,70,15,10,0,1,3,1
2019,TW,DAS,YAT,W,W10,2019TWDASYATW10,10,20190715,10:30,11:00,Ä¬¬R¡B¤B¦b,40,40,11,1.5,2.5,2,3
2019,TW,DAS,YAT,N,N05,2019TWDASYATN05,05,20190715,13:48,14:05,Ä¬¬R¡B¤B¦b,80,5,5,1.5,1.5,3,4
2019,TW,DAS,YAT,N,N10,2019TWDASYATN10,10,20190715,14:05,14:18,Ä¬¬R¡B¤B¦b,70,15,5,0.5,0.5,4,5
2019,TW,DAS,SEN,E,E05,2019TWDASSENE05,05,20190713,14:46,15:02,­§®x¡BÂ¦¹Å,80,12,1,0.5,3.5,0,3
2019,TW,DAS,SEN,E,E10,2019TWDASSENE10,10,20190713,15:02,15:11,­§®x¡BÂ¦¹Å,65,10,10,2,8,3,2
2019,TW,DAS,SEN,S,S05,2019TWDASSENS05,05,20190713,15:14,15:23,­§®x¡BÂ¦¹Å,65,10,20,2,0,3,0
2019,TW,DAS,SEN,S,S10,2019TWDASSENS10,10,20190713,15:30,16:00,­§®x,40,20,26,2,2,0,10
2019,TW,DAS,SEN,W,W05,2019TWDASSENW05,05,20190713,09:17,10:01,Ä¬¬R¡B¤B¦b,50,15,25,1,0,8,1
2019,TW,DAS,SEN,W,W10,2019TWDASSENW10,10,20190713,10:30,10:56,Ä¬¬R¡B¤B¦b,45,20,15,2,3,10,5
2019,TW,DAS,SEN,N,N05,2019TWDASSENN05,05,20190713,12:51,13:01,Ä¬¬R¡B¤B¦b,65,5,15,3,0,6,6
2019,TW,DAS,SEN,N,N10,2019TWDASSENN10,10,20190713,13:02,13:11,Ä¬¬R¡B¤B¦b,75,5,10,1,0,5,4
2013,TW,DAS,SUN,E,E05,2013TWDASSUNE05,05,20130730,13:50,14:25,ÁÂµÙ¬K¡B¶À¥@¦|,85,5,5,1,0.5,3,0.5
2013,TW,DAS,SUN,E,E10,2013TWDASSUNE10,10,20130730,14:25,15:10,ÁÂµÙ¬K¡B¶À¥@¦|,82,7,9,0.2,0.2,0.2,1.4
2013,TW,DAS,SUN,S,S05,2013TWDASSUNS05,05,20130731,08:10,09:10,ÁÂµÙ¬K¡B¶À¥@¦|,75,10,12,0.5,1.5,0.5,0.5
2013,TW,DAS,SUN,S,S10,2013TWDASSUNS10,10,20130731,09:30,10:13,ªL§g»ö¡B¶À¥@¦|,74,12,10,0.5,0.5,2,1
2013,TW,DAS,SUN,W,W05,2013TWDASSUNW05,05,20130729,14:50,16:00,ÁÂµÙ¬K,69,15,8,2,3,1,2
2013,TW,DAS,SUN,W,W10,2013TWDASSUNW10,10,20130729,16:17,17:25,¦óªö®x¡BªL§g»ö,77,10,5,2,1,2,3
2013,TW,DAS,SUN,N,N05,2013TWDASSUNN05,05,20130730,10:15,10:45,ÁÂµÙ¬K¡B¶À¥@¦|,70,15,8,1,0.5,2.5,3
2013,TW,DAS,SUN,N,N10,2013TWDASSUNN10,10,20130730,10:50,11:35,ÁÂµÙ¬K¡B¶À¥@¦|,87,9,2,0.8,0.2,0.2,0.8
2013,TW,DAS,YAT,E,E05,2013TWDASYATE05,05,20130801,09:22,10:10,ªL§g»ö¡B¦óªö®x,92,2,2,0.5,0.5,2,1
2013,TW,DAS,YAT,E,E10,2013TWDASYATE10,10,20130801,10:11,10:55,ªL§g»ö¡B¦óªö®x,94.5,1,1,1,0.5,1,1
2013,TW,DAS,YAT,S,S05,2013TWDASYATS05,05,20130801,09:25,10:12,©ö´ð¬Â¡B¬x³eÞ³,85.8,3,8,1,0.5,1.5,0.2
2013,TW,DAS,YAT,S,S10,2013TWDASYATS10,10,20130801,10:13,10:52,©ö´ð¬Â¡B¬x³eÞ³,92,0.5,3,1,0.5,1,2
2013,TW,DAS,YAT,W,W05,2013TWDASYATW05,05,20130801,09:20,10:08,ÁÂµÙ¬K,69,17,12,0.6,1,0.2,0.2
2013,TW,DAS,YAT,W,W10,2013TWDASYATW10,10,20130801,10:10,10:47,ÁÂµÙ¬K,18,70,11,0.1,0.8,0,0.1
2013,TW,DAS,YAT,N,N05,2013TWDASYATN05,05,20130801,09:20,10:03,¶À¥@¦|¡B³¯­³¥ò,85,7,4,0.5,2,0.5,1
2013,TW,DAS,YAT,N,N10,2013TWDASYATN10,10,20130801,10:05,10:38,¶À¥@¦|¡B³¯­³¥ò,73,15,10,0.1,1,0.1,0.8
2013,TW,DAS,SEN,E,E05,2013TWDASSENE05,05,20130803,10:55,11:30,ÁÂµÙ¬K,76,15,5,0.2,1,0.5,2.3
2013,TW,DAS,SEN,E,E10,2013TWDASSENE10,10,20130803,11:30,12:08,ÁÂµÙ¬K,78,12,8,0.2,0.5,0.3,1
2013,TW,DAS,SEN,S,S05,2013TWDASSENS05,05,20130803,10:40,11:15,¶À¥@¦|¡B³¯­³¥ò,69,10,17,2,0.5,1.5,1.5
2013,TW,DAS,SEN,S,S10,2013TWDASSENS10,10,20130803,11:20,11:52,¶À¥@¦|¡B³¯­³¥ò,18,60,20,0.5,0.2,0.3,1
2013,TW,DAS,SEN,W,W05,2013TWDASSENW05,05,20130803,11:00,11:25,ªL§g»ö¡B¦óªö®x,75,11,8,2,1,2,1
2013,TW,DAS,SEN,W,W10,2013TWDASSENW10,10,20130803,11:27,11:55,ªL§g»ö¡B¦óªö®x,65,16,10,3,3,1,2
2013,TW,DAS,SEN,N,N05,2013TWDASSENN05,05,20130803,11:00,11:29,©ö´ð¬Â¡B¬x³eÞ³,63,5,20,1,1,5,5
2013,TW,DAS,SEN,N,N10,2013TWDASSENN10,10,20130803,11:38,11:59,©ö´ð¬Â¡B¬x³eÞ³,64,6,23,1,1,3,2
