"","name","code","N","bio_1_1","bio_1_2","bio_1_3","bio_1_4","bio_1_5","i.code","bio_12_1","bio_12_2","bio_12_3","bio_12_4","bio_12_5"
"80","Senecio morrisonensis",80,186,3.9,8.3,11.3,12.8,24.5,80,1687,2477.75,2679,3179.75,3964
"81","Solidago virgaurea leiocarpa",81,99,-1.8,4.55,6.2,7.95,16.9,81,786,1228.5,1604,2249,3542
"82","Spiraea formosana",82,230,3.9,7.225,10,12,24.1,82,576,2351.25,2635,3155,4123
"83","Spiraea hayatana",83,36,3.9,6.7,8,11.1,18.4,83,1663,1964.5,2591.5,2623,3155
"84","Spiraea morrisonicola",84,116,3.9,4.7,5.75,8,22.5,84,1663,2531,2654,2815.5,3666
"85","Swertia macrosperma",85,442,3.6,7.8,11.7,14.875,22.5,85,373,817,2048,2617,3666
"86","Trichophorum subcapitatum",86,305,3.8,10.2,14.4,19.1,26.8,86,528,1578,2530,3097,6774
"87","Trisetum spicatum var. formosanum",87,134,3,4.125,5,6.5,17.5,87,2086,2367,2622,2851,3359
"88","Veratrum formosanum",88,158,3.9,6.3,6.8,8.45,22.5,88,1663,2443,2608,2670.75,3922
"89","Veronica morrisonicola",89,381,3,5.1,6.5,8.9,24.3,89,1171,2408,2590,2851,3542
"90","Viola adenothrix",90,181,3,6.7,10.9,13.3,22.3,90,1890,2411,2597,3299,4056
"91","Yushania niitakayamensis",91,290,3.9,6.4,9.9,12.8,24.9,91,649,2462.75,2667,3159.5,4123
