"","scientificname","code","1","2","3","4","5"
"58","Maianthemum formosanum",58,11.7,24,43.3,93.2,226.9
"59","Miscanthus sinensis",59,23.8,67.4,83.8,112.6,243.6
"60","Myriactis humilis",60,0.5,47.2,73.9,94.1,262
"61","Origanum vulgare",61,9,59.7,68.1,78.825,249
"62","Phleum alpinum",62,0,13.5,19.6,26.1,95.9
"63","Picris hieracioides subsp. morrisonensis (Hayata)",63,13.8,15.8,29.9,60.3,130.2
"64","Pieris taiwanensis",64,11.7,65.7,90.9,161.1,241.6
"65","Pinus armandii mastersiana",65,11.7,55.4,73.9,92.2,229.8
"66","Pinus taiwanensis",66,22.4,60.8,116,155.8,231.2
"67","Platanthera brevicalcarata",67,9.4,21.1,29.3,49.2,181.2
"68","Polygala japonica",68,22.9,97.3,118.7,140,272.1
"69","Potentilla leuconota var. morrisonicola",69,11.7,23,27.8,49.9,229.8
"70","Potentilla tugitakensis",70,13.8,14.8,18.7,23,218.2
"71","Rhododendron pseudochrysanthum",71,9.4,24,43.3,73.4,234.3
"72","Rhododendron rubropilosum",72,11.7,43.3,65.8,92.25,217.1
"73","Ribes formosanum",73,11.7,29.3,49.6,65.5,218.3
"74","Rosa transmorrisonensis",74,13.8,32.1,47.6,72.225,231.2
"75","Rubus rolfei",75,11.7,35.9,61.4,87.825,210.5
"76","Salix morrisonicola var. takasagoalpina",76,11.7,17.1,26.8,62,127.9
"77","Scabiosa lacerifolia",77,9.4,14.7,19.15,26.65,231.9
"78","Sedum morrisonense",78,9.4,17.1,26.4,49.975,218.3
"79","Selliguea quasidivaricata",79,22.1,43.6,47.6,52.9,145.6
"80","Senecio morrisonensis",80,11.7,43.6,75.3,93.2,233.9
"81","Solidago virgaurea leiocarpa",81,16.5,41.9,53.2,63.45,142.5
"82","Spiraea formosana",82,11.7,37.225,62.5,83.5,229.8
"83","Spiraea hayatana",83,13.8,32.4,43.3,73.9,161.2
"84","Spiraea morrisonicola",84,11.7,18.5,25.15,43.3,210.5
"85","Swertia macrosperma",85,11.7,43.225,80.7,118.3,210.5
"86","Trichophorum subcapitatum",86,0,62.4,112.3,169.4,261.3
"87","Trisetum spicatum var. formosanum",87,9.4,14.8,21.1,29,150.5
"88","Veratrum formosanum",88,13.8,28.9,33.4,45.975,210.5
"89","Veronica morrisonicola",89,9.4,21.1,30.7,51.3,231.2
"90","Viola adenothrix",90,9.4,32.4,70.8,100,207.4
"91","Yushania niitakayamensis",91,11.7,30,59.8,93.65,238.3
